disappearance,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Austria,874.7312789,1012.6639738,926.0268695,719.572364,995.8237748,772.0661355,612.4706464,846.8156569,907.8868183,885.7158476,902.8543286,1117.3456428,1269.0194578,1249.0,0.0,0.0,0.0,0.0,0.0
   Belgium,1133.3605635,884.2332676,1484.300964,1579.4185707,1396.2354379,1158.0377555,1537.4130848,1103.1183459,649.9305163,934.292881,870.6651789,934.4687495,914.636559,1245.0,0.0,0.0,0.0,0.0,0.0
   Bulgaria,275.0848163,350.399596,340.5686971,397.3146976,364.1907962,430.0139857,420.3825188,364.1899682,444.7178889,409.2759028,395.3579912,359.5197507,375.9412509,419.0,0.0,0.0,0.0,0.0,0.0
   Croatia,327.1239955,336.7679964,354.8629948,375.4279963,370.0095474,373.7530593,386.1328524,386.3344636,377.1421853,365.637529,369.8385933,367.1531434,360.3641197,387.0,0.0,0.0,0.0,0.0,0.0
   Cyprus,66.7969972,52.8910969,51.3787973,53.0959969,59.8123959,69.6475053,55.4956657,69.2840491,77.2930951,75.4378673,73.9056481,80.7935252,85.3983201,89.0,0.0,0.0,0.0,0.0,0.0
   Czech Republic,560.2263965,633.0506651,641.5285778,622.6632594,604.6831455,656.4660993,631.0135547,678.9607778,621.412751,525.1680463,469.731678,572.4584702,685.226286,637.0,0.0,0.0,0.0,0.0,0.0
   Denmark,790.6439887,868.401388,804.5923848,724.0392818,848.8462806,794.5496071,822.4936613,794.2843231,688.3443275,676.2529948,806.4887504,762.2586282,799.8243258,822.0,0.0,0.0,0.0,0.0,0.0
   Estonia,97.3386033,106.9025036,110.8098218,114.3622634,128.524104,144.660116,166.942772,101.1320074,153.8600031,123.4939484,104.7827036,66.6144089,103.9805131,120.0,0.0,0.0,0.0,0.0,0.0
   Finland,967.2189943,947.4328339,969.5858925,965.8931931,1034.3603933,1102.2406119,1046.8443604,1056.9026471,1114.9218201,1058.406243,1080.4242147,1092.9770746,1082.0259846,1095.0,0.0,0.0,0.0,0.0,0.0
   France,5402.0806777,5252.8193178,5525.7153235,5393.6799911,4929.1171668,4787.3583972,5277.5864598,5627.7542717,5151.5666778,5676.7497713,5712.8985095,5961.9527905,5790.2946384,5707.0,0.0,0.0,0.0,0.0,0.0
   Germany,8769.8806534,9059.3280715,8497.9996819,9498.5987369,10444.7078526,8664.5070937,9150.8529671,8626.6812829,9534.5082725,8896.9330624,9291.9588588,9460.3495609,8829.7429627,9378.0,0.0,0.0,0.0,0.0,0.0
   Greece,687.4356581,547.8508547,826.5487537,928.5628345,871.0449497,870.1194578,856.5887765,1014.596889,978.0725388,973.8755111,993.6918558,1022.5487747,1076.0986103,1101.0,0.0,0.0,0.0,0.0,0.0
   Hungary,632.9371721,646.9397739,637.4868752,646.0869215,707.8909991,569.9021257,598.0178103,522.2031582,493.9782409,445.2858406,375.7144707,180.0658698,252.2423751,177.0,0.0,0.0,0.0,0.0,0.0
   Ireland,83.1581989,146.2403911,136.1156909,150.9261903,224.7427843,222.8917936,202.6602633,244.3458079,115.1070827,134.4962547,159.9820946,178.633597,214.0962424,196.0,0.0,0.0,0.0,0.0,0.0
   Italy,5149.2363464,5243.2770429,5182.2302365,5507.114437,5468.9091357,5551.8268151,5593.0606133,5820.9490542,5892.1521765,5806.0245941,5781.3189611,5689.331772,5709.7631664,5634.0,0.0,0.0,0.0,0.0,0.0
   Latvia,161.7948373,149.7699398,144.9972689,158.5701566,154.9939176,144.2222839,180.787614,130.8501559,115.1388518,88.1131531,98.5950593,101.030448,101.1865965,95.0,0.0,0.0,0.0,0.0,0.0
   Lithuania,173.2436753,204.3201294,208.3131568,173.0690057,197.2883019,193.4212782,213.4232022,230.0800162,203.7830587,209.7771589,222.6261261,179.7829024,193.2187238,197.0,0.0,0.0,0.0,0.0,0.0
   Luxembourg,144.1599958,133.2743666,172.2970206,189.8677859,220.6984209,226.8720411,233.14418,250.6164897,238.8282806,221.9069736,232.2843907,214.5667871,212.2320875,241.0,0.0,0.0,0.0,0.0,0.0
   Malta,8.8105016,9.0843982,8.8342425,10.562217,15.5230233,16.2784546,28.8119257,15.906515,22.7471165,14.1236398,12.027799,15.5570067,20.9978384,22.0,0.0,0.0,0.0,0.0,0.0
   Netherlands,1859.7716796,1677.0782898,1573.917885,1742.5018889,1978.1406346,1926.9309681,2128.7880598,2292.0910668,1323.56366,897.8116087,1347.0822875,909.250259,1382.4607587,1625.0,0.0,0.0,0.0,0.0,0.0
   Poland,2045.5876921,2222.4250766,2201.1288641,2242.1160696,2281.1074448,2267.4295739,1993.0765295,1554.3648505,1681.0872063,2001.0076874,2155.7120183,2034.2879275,1936.1266915,1669.0,0.0,0.0,0.0,0.0,0.0
   Portugal,646.3940922,745.4962916,719.5821928,657.3692826,762.6503143,744.2368889,768.0140824,768.8582821,746.5084817,731.0854139,812.1722278,858.9247851,828.0796456,840.0,0.0,0.0,0.0,0.0,0.0
   Romania,551.0259948,632.5168953,737.5490064,754.9938936,818.2387046,857.0627917,835.1256111,823.5732369,806.767141,774.9448214,795.8747431,801.9002007,849.2236104,891.0,0.0,0.0,0.0,0.0,0.0
   Slovakia,263.3157415,283.7148754,275.2957982,285.4262863,283.1756553,293.2365048,280.9030874,356.3345739,341.0349294,212.7452448,337.0669734,387.7413126,201.0764773,328.0,0.0,0.0,0.0,0.0,0.0
   Slovenia,172.6641424,182.8490011,188.4655142,166.5988968,184.9618615,181.471872,175.6884316,194.9588755,194.1698724,198.2751228,205.0660836,207.7191547,184.991224,184.0,0.0,0.0,0.0,0.0,0.0
   Spain,2991.3638381,2795.0254889,2833.0362799,2740.3989013,2705.4122029,3007.2495604,3016.6484311,3198.1131017,3485.4755818,3351.8664825,3231.8615047,3148.7311307,3435.225278,3234.0,0.0,0.0,0.0,0.0,0.0
   Sweden,1173.0894861,1251.4479866,1224.3520036,1178.293186,1233.5061894,1169.8317427,1315.0355558,1244.3056564,1272.45469,1132.8926737,1221.4490829,1125.013125,1159.3298765,1175.0,0.0,0.0,0.0,0.0,0.0
   United Kingdom,2342.2825933,2214.8251521,2260.7400997,2235.795821,2458.4958999,2680.2344747,3058.7887185,2823.698258,3067.4315451,3220.1118656,3134.1443042,2925.4494609,2925.8733238,2828.0,0.0,0.0,0.0,0.0,0.0
Japan,6625.6599099,6935.5949381,6874.6949428,6769.7719493,7116.9799495,7127.9509492,7268.1863162,7282.0825522,7064.6851125,7130.4034603,7192.3980023,7014.8538097,7130.9466472,7435.0,7494.0,7695.0,7872.0,7742.0,7833.5956675
Norway,657.200694,709.938594,692.2479945,683.0016581,708.9383708,743.4161967,721.2665981,771.4217104,714.555655,715.2394977,745.6995295,785.1266543,723.3666752,763.0,729.0,788.0,782.0,781.0,734.1667393
Russian Federation,1863.0968085,3032.0986122,3451.4307902,3678.9769849,3076.5782372,3184.7579585,3220.8113718,3977.4379322,3632.5801136,3112.8719557,3700.2797932,3754.1902538,3696.1643005,3648.0,4021.0,3846.0,4439.0,4512.0,4233.5037736
Switzerland,826.9300283,816.0902158,821.0258781,852.4299329,722.0164368,1099.3324491,931.8893723,988.9741938,1149.3016902,965.5446285,1011.808333,1034.9743064,1047.0824941,1123.0,1028.0,1096.0,1066.0,894.0,1170.286972
Tunisia,191.7425547,231.7800844,234.173039,119.6613939,262.9766299,189.7958557,200.4041458,253.3957801,317.4853005,288.7271606,301.4742487,415.3742658,421.1362765,429.0,460.0,458.0,465.0,546.0,532.8003905
USA,18745.5637179,19553.6538074,19124.5109135,20192.6776434,20972.7629194,20997.5440389,20667.3795803,21033.2731039,21652.4270057,21435.9671121,21783.457919,22043.8913838,22231.6637149,23417.0,23767.0,24438.0,25243.0,26183.0,26514.327404
